run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
2424,4,-.31815642,-.18889947,.32464939,1,1,1,7,0
8236,4,-.42145398,.52780688,-.58554661,1,1,1,7,0
2209,4,-.68915349,-.45767382,.48742491,1,1,1,7,0
7247,4,-.4428176,-.13157509,.33462018,1,1,1,7,0
9773,4,-.72662914,-.51665992,.2226133,1,1,1,7,0
2919,4,-.42504758,-.15058056,-.29882962,1,1,1,7,0
9629,4,-.5687604,-.094994083,-.22320791,1,1,1,7,0
4124,4,-.21110362,.5139578,-.64108968,1,1,1,7,0
843,4,-.31924942,.4431386,-.19554774,1,1,1,7,0
3351,4,-.78514946,-.87824923,1.0143452,1,1,1,7,0
5474,4,.061640196,.57884413,-1.1373981,1,1,1,7,0
2649,4,.26730424,.96941566,-.96786374,1,1,1,7,0
8144,4,-.62261289,-.85917741,.73095894,1,1,1,7,0
1907,4,-.065767437,.90384835,-.78941751,1,1,1,7,0
3309,4,-.1059152,.70651883,-.83835095,1,1,1,7,0
3318,4,-.79246372,.72667289,-.4478896,1,1,1,7,0
1681,4,-.47324893,-.376459,-.033006378,1,1,1,7,0
3357,4,-.61155331,.40036464,-.097658545,1,1,1,7,0
1254,4,-.5934391,.43784654,-.54585314,1,1,1,7,0
7401,4,-.56466889,-1.3138435,1.5216016,1,1,1,7,0
532,4,-.40606841,.91977817,-.92141217,1,1,1,7,0
6474,4,-.45728895,.01220308,.094069973,1,1,1,7,0
4783,4,-.66201562,-.21921836,.23167241,1,1,1,7,0
3591,4,-.71140826,-.2247986,.53753549,1,1,1,7,0
917,4,-.50306296,.01924612,.090784878,1,1,1,7,0
6912,4,.014403167,-.057801478,-.95237035,1,1,1,7,0
4510,4,.18641075,.83689982,-1.4398502,1,1,1,7,0
7678,4,-.59981418,-.24645449,.23082766,1,1,1,7,0
8991,4,-.7472415,-.27706337,.71785659,1,1,1,7,0
9397,4,.32340741,.36692464,-1.1972959,1,1,1,7,0
9631,4,-.33180031,.35210815,-.5387097,1,1,1,7,0
3294,4,-.93790233,-.39827979,1.041223,1,1,1,7,0
4306,4,-.50035197,.10195193,-.50966263,1,1,1,7,0
3369,4,-.65877014,-1.115671,1.1053194,1,1,1,7,0
5748,4,-.18594842,-.13404906,-.25177673,1,1,1,7,0
9253,4,-.11358196,.73788649,-1.1584498,1,1,1,7,0
4767,4,-.078984678,.66421103,-1.5332047,1,1,1,7,0
9632,4,.51000613,1.6103117,-2.9306045,1,1,1,7,0
3303,4,-.16179769,-.19173111,.079541266,1,1,1,7,0
764,4,-1.1291223,-1.0690142,2.1335356,1,1,1,7,0
5424,4,.45251581,1.207389,-2.2895045,1,1,1,7,0
709,4,-.66154295,-.74177462,1.3767005,1,1,1,7,0
1369,4,-.42281601,.27265096,-.52465868,1,1,1,7,0
7928,4,.40375927,1.0162865,-1.5832822,1,1,1,7,0
9899,4,-.19826907,.53794885,-.40906149,1,1,1,7,0
213,4,-.21758609,.62819427,-.96712059,1,1,1,7,0
574,4,-.14098121,-.13388842,-.54416454,1,1,1,7,0
3637,4,-.90108997,-1.2619091,1.3155799,1,1,1,7,0
3977,4,-.060732137,.17387289,-.91143376,1,1,1,7,0
7376,4,-2.283191,-.50894344,.63630247,1,1,1,7,0
9870,4,-.51317155,-.43808499,.6473155,1,1,1,7,0
6722,4,-.4670186,.66332525,-1.4809744,1,1,1,7,0
2041,4,-.15396528,.19260931,-.47898343,1,1,1,7,0
1096,4,-1.4267948,-.99857789,1.78839,1,1,1,7,0
8594,4,.46048674,.0047448161,-.55337048,1,1,1,7,0
2683,4,-.37352845,-.098883793,-.15216446,1,1,1,7,0
7830,4,-.64901149,-.11159419,.54247808,1,1,1,7,0
2460,4,-.99632096,-1.4154496,1.5996728,1,1,1,7,0
3298,4,-.76761532,-1.2292544,1.4487832,1,1,1,7,0
3851,4,.043598123,.57970047,-1.2109057,1,1,1,7,0
4003,4,-.25196689,.5605014,-.37551898,1,1,1,7,0
7196,4,-.81400585,-.94098806,.7296682,1,1,1,7,0
8388,4,-.22191589,-.2011324,-.1697807,1,1,1,7,0
4153,4,-1.1634107,-.92067701,1.5785979,1,1,1,7,0
4485,4,.043007314,.32805303,-.95784628,1,1,1,7,0
5127,4,-.8036533,-.025365908,-.35463589,1,1,1,7,0
2268,4,.023043413,.077512465,-.73921525,1,1,1,7,0
