run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
3087,2,-1.2396729,1.2731608,.1144591,1,0,1,7,0
5417,2,-1.7539392,1.5600955,.25645033,1,0,1,7,0
4698,2,-.40060467,.16935459,.007881402,1,0,1,7,0
4697,2,-.77358913,.61490941,.073013447,1,0,1,7,0
8858,2,-.74867988,.83448458,.043360464,1,0,1,7,0
6194,2,-2.0057645,2.6592159,.19807011,1,0,1,7,0
4690,2,-1.9128435,2.1573172,.21209124,1,0,1,7,0
8662,2,-.5151692,.16956446,.037405271,1,0,1,7,0
1307,2,-1.1801304,.87421125,.10589559,1,0,1,7,0
7134,2,-1.3582501,.90967619,.20330895,1,0,1,7,0
5226,2,-1.5548103,1.4808172,.16373035,1,0,1,7,0
2197,2,-.92121965,.61254811,.097470008,1,0,1,7,0
1042,2,-.47119656,-.33602175,.05681619,1,0,1,7,0
1405,2,-1.0013219,1.3943012,.071613804,1,0,1,7,0
618,2,-.71191907,.88474172,.030972559,1,0,1,7,0
4684,2,-.84885907,.44003755,.071244381,1,0,1,7,0
2865,2,-1.7398783,1.8651326,.17864873,1,0,1,7,0
3058,2,-1.3650663,.81299233,.18573818,1,0,1,7,0
1254,2,.053769,-.18994418,-.099260017,1,0,1,7,0
6177,2,-.80119562,.64179438,.079605207,1,0,1,7,0
4681,2,-.82629013,.95893574,.074070744,1,0,1,7,0
7969,2,-1.2942343,1.3532287,.141157,1,0,1,7,0
3003,2,-1.5942513,1.3755038,.14910461,1,0,1,7,0
3338,2,-1.1184394,.95547557,.085021928,1,0,1,7,0
3366,2,-1.1561668,.57279843,.14462361,1,0,1,7,0
9617,2,-1.5719137,1.6986046,.15742439,1,0,1,7,0
1603,2,-.8324669,.29544002,.11923244,1,0,1,7,0
1773,2,-.57226747,-.22514732,.070564397,1,0,1,7,0
6212,2,-1.7064729,1.135172,.23969723,1,0,1,7,0
4670,2,-.17607711,-.44876,-.026847059,1,0,1,7,0
8198,2,-1.0850732,1.0274994,.10901959,1,0,1,7,0
1586,2,-1.5981042,1.9388678,.1349577,1,0,1,7,0
4889,2,-1.0154884,.80319029,.11214692,1,0,1,7,0
5504,2,-1.4110477,1.6055841,.1268239,1,0,1,7,0
4666,2,-1.1863229,.95800352,.13366258,1,0,1,7,0
8958,2,-.76146394,.69316792,.083995573,1,0,1,7,0
2434,2,-1.233501,1.2171831,.12109152,1,0,1,7,0
6402,2,-.69569057,.33493847,.068825662,1,0,1,7,0
4659,2,-1.8082584,1.6056869,.23114914,1,0,1,7,0
3993,2,-.40345305,.43288442,.0010055329,1,0,1,7,0
318,2,-1.5310392,1.5342624,.18278565,1,0,1,7,0
5423,2,-2.3980162,2.9495745,.2858634,1,0,1,7,0
4656,2,-.58589417,.27605391,.036842905,1,0,1,7,0
2206,2,-1.3773118,1.4293927,.11993777,1,0,1,7,0
6111,2,-1.0610144,.25517991,.17829759,1,0,1,7,0
554,2,-.89733446,.40066883,.098011971,1,0,1,7,0
644,2,-.60992837,.69597471,.032304827,1,0,1,7,0
6974,2,-.94556004,.48328021,.10199673,1,0,1,7,0
2359,2,-1.3099192,1.331569,.11367853,1,0,1,7,0
4649,2,-1.7095674,1.6462662,.16228013,1,0,1,7,0
2960,2,-.64943451,-.17786174,.10721546,1,0,1,7,0
9376,2,-1.6739267,1.267516,.18792109,1,0,1,7,0
805,2,-2.0641737,1.9700123,.26203901,1,0,1,7,0
6171,2,-.89177454,.1480016,.12518352,1,0,1,7,0
4644,2,-1.2811859,1.1807444,.12208212,1,0,1,7,0
1372,2,-1.629663,1.6427115,.15622373,1,0,1,7,0
8803,2,-1.6951219,2.1969407,.19725752,1,0,1,7,0
3132,2,-2.6299467,3.2712975,.28921598,1,0,1,7,0
4640,2,-1.2651578,1.7104435,.10212602,1,0,1,7,0
7302,2,-.95723486,.64209795,.09430851,1,0,1,7,0
3311,2,-.96464014,1.0794817,.053047951,1,0,1,7,0
7450,2,-.93084013,.64874446,.067590319,1,0,1,7,0
4390,2,-1.8026716,2.0530305,.19448762,1,0,1,7,0
584,2,-1.390762,1.0412202,.16816747,1,0,1,7,0
1004,2,-1.4642044,1.3148773,.15805773,1,0,1,7,0
7189,2,-.60768396,.52445251,.030784458,1,0,1,7,0
4635,2,-1.3213162,1.4877433,.11800653,1,0,1,7,0
999,2,-1.3042567,1.4570488,.1483832,1,0,1,7,0
6014,2,-1.3076975,1.6134077,.11298796,1,0,1,7,0
4630,2,-1.0380162,1.2332913,.092128195,1,0,1,7,0
3237,2,-1.7308227,2.2662127,.15787654,1,0,1,7,0
1727,2,-1.5217775,1.2622623,.15606095,1,0,1,7,0
1036,2,-.49897766,-.047152512,.045415498,1,0,1,7,0
9591,2,-.64282745,.36430272,.020329321,1,0,1,7,0
2460,2,-.96137416,.94429898,.080692045,1,0,1,7,0
4624,2,-1.7760978,1.2844278,.21306835,1,0,1,7,0
5157,2,-1.2341546,1.1837633,.11563221,1,0,1,7,0
2466,2,-.89276868,.55555296,.077465601,1,0,1,7,0
3989,2,-1.2022693,1.2297173,.11804195,1,0,1,7,0
2999,2,-1.9765738,2.4224856,.21858728,1,0,1,7,0
5761,2,-.73100686,.90823781,.048603244,1,0,1,7,0
4618,2,-1.2284067,1.2316999,.12891974,1,0,1,7,0
122,2,-2.0388429,1.8772553,.28212014,1,0,1,7,0
2833,2,-.17404573,-.45401281,.0051753228,1,0,1,7,0
8648,2,-2.1643689,2.5701327,.22823384,1,0,1,7,0
4994,2,-1.6482445,2.2850471,.17045498,1,0,1,7,0
3625,2,-.75127059,.57532424,.071383908,1,0,1,7,0
6582,2,-.57678455,.2028629,.045204561,1,0,1,7,0
3426,2,-1.2496661,.91598177,.10159049,1,0,1,7,0
9165,2,-1.0672381,.77510679,.11013157,1,0,1,7,0
9868,2,-1.2099814,1.2867417,.098559715,1,0,1,7,0
4609,2,-1.9862368,1.5275817,.28659362,1,0,1,7,0
4607,2,-1.2164582,.98884517,.14851728,1,0,1,7,0
4052,2,-1.2947874,1.8736385,.14068367,1,0,1,7,0
2264,2,-.95298213,.98657268,.10481559,1,0,1,7,0
6040,2,-2.0966547,1.7249225,.28114459,1,0,1,7,0
4711,2,-1.2898401,.96183807,.16137075,1,0,1,7,0
8290,2,-2.0283604,2.3189783,.20209728,1,0,1,7,0
3629,2,-.66025251,.27249667,.070306949,1,0,1,7,0
4595,2,-1.182968,1.4608492,.0849455,1,0,1,7,0
6629,2,-.57562411,.017605573,.019808222,1,0,1,7,0
8616,2,-1.0355018,1.3975134,.073513359,1,0,1,7,0
2133,2,-1.3482953,.70859522,.1499896,1,0,1,7,0
4792,2,-2.2539048,2.7312434,.23673785,1,0,1,7,0
4591,2,-1.8956729,2.2514591,.21798539,1,0,1,7,0
1962,2,-2.7858872,3.0726795,.370763,1,0,1,7,0
